Criterion (scale)	Model	n	EN median [IQR]	FR median [IQR]	V	Hodges-Lehmann	P	Adj. P
Overall score (0-18)	o3	180	17.50 [16.50;18.00]	17.50 [16.50;18.00]	4211	0.00	0.361	1
Overall score (0-18)	DeepSeek-R1	180	16.50 [15.50;17.12]	16.00 [15.00;17.00]	7743	0.50	<0.001	0.00174
Overall score (0-18)	GPT-4	180	16.50 [15.50;17.50]	16.00 [15.00;17.00]	7579	0.75	<0.001	<0.001
Overall score (0-18)	Llama-405B	180	16.50 [15.50;17.50]	15.50 [13.50;16.50]	9067	1.00	<0.001	<0.001
Overall score (0-18)	BioMistral	180	9.00 [6.50;11.00]	8.00 [6.50;9.50]	7665	1.00	0.00514	0.0257
Final diagnosis (0-3)	o3	180	3.00 [3.00;3.00]	3.00 [3.00;3.00]	460	-0.00	0.672	1
Final diagnosis (0-3)	DeepSeek-R1	180	3.00 [2.50;3.00]	3.00 [2.50;3.00]	1122	0.00	0.287	1
Final diagnosis (0-3)	GPT-4	180	3.00 [2.50;3.00]	3.00 [2.50;3.00]	1260	0.25	0.105	0.526
Final diagnosis (0-3)	Llama-405B	180	3.00 [2.00;3.00]	3.00 [2.00;3.00]	1428	0.25	0.0183	0.0915
Final diagnosis (0-3)	BioMistral	180	1.00 [1.00;2.50]	1.00 [1.00;2.00]	3023	0.25	0.127	0.634
Internal validity (0-5)	o3	180	5.00 [4.50;5.00]	5.00 [4.50;5.00]	1804	0.00	0.174	0.87
Internal validity (0-5)	DeepSeek-R1	180	4.50 [4.50;5.00]	4.50 [4.00;5.00]	3259	0.25	0.00494	0.0247
Internal validity (0-5)	GPT-4	180	4.50 [4.00;5.00]	4.50 [4.00;5.00]	3246	0.25	0.0164	0.0819
Internal validity (0-5)	Llama-405B	180	4.50 [4.00;5.00]	4.50 [4.00;4.50]	4042	0.50	<0.001	<0.001
Internal validity (0-5)	BioMistral	180	2.00 [1.50;3.00]	1.50 [1.50;2.50]	5616	0.25	0.0563	0.282
External validity (0-3)	o3	180	3.00 [3.00;3.00]	3.00 [3.00;3.00]	373	0.50	0.00525	0.0263
External validity (0-3)	DeepSeek-R1	180	3.00 [2.50;3.00]	3.00 [3.00;3.00]	894	0.00	0.474	1
External validity (0-3)	GPT-4	180	3.00 [2.50;3.00]	3.00 [2.50;3.00]	1229	0.00	0.276	1
External validity (0-3)	Llama-405B	180	3.00 [2.50;3.00]	3.00 [2.50;3.00]	2553	0.50	<0.001	<0.001
External validity (0-3)	BioMistral	180	2.00 [1.00;2.00]	2.00 [1.00;2.00]	3320	0.25	0.122	0.609
Differential diagnosis (0-1)	o3	180	1.00 [1.00;1.00]	1.00 [1.00;1.00]	121	0.00	0.421	1
Differential diagnosis (0-1)	DeepSeek-R1	180	0.50 [0.50;1.00]	0.50 [0.50;1.00]	1512	0.25	0.00215	0.0108
Differential diagnosis (0-1)	GPT-4	180	1.00 [0.50;1.00]	0.50 [0.50;1.00]	1864	0.50	<0.001	<0.001
Differential diagnosis (0-1)	Llama-405B	180	1.00 [0.50;1.00]	1.00 [0.50;1.00]	2065	0.50	<0.001	<0.001
Differential diagnosis (0-1)	BioMistral	180	0.00 [0.00;0.00]	0.00 [0.00;0.00]	597	0.00	0.0941	0.471
Logical structure (0-4)	o3	180	4.00 [3.00;4.00]	4.00 [3.50;4.00]	1657	-0.00	0.963	1
Logical structure (0-4)	DeepSeek-R1	180	3.50 [3.00;4.00]	3.00 [3.00;4.00]	4162	0.00	0.0541	0.27
Logical structure (0-4)	GPT-4	180	4.00 [3.00;4.00]	3.50 [3.00;4.00]	2609	0.25	<0.001	0.00286
Logical structure (0-4)	Llama-405B	180	3.50 [3.00;4.00]	3.00 [3.00;4.00]	3612	0.25	0.00183	0.00917
Logical structure (0-4)	BioMistral	180	1.00 [1.00;2.00]	1.00 [1.00;1.50]	4263	0.25	0.00445	0.0222
Expression (0-2)	o3	180	2.00 [2.00;2.00]	2.00 [2.00;2.00]	231	0.50	<0.001	<0.001
Expression (0-2)	DeepSeek-R1	180	2.00 [2.00;2.00]	2.00 [2.00;2.00]	54	0.50	0.0197	0.0984
Expression (0-2)	GPT-4	180	2.00 [2.00;2.00]	2.00 [2.00;2.00]	204	0.50	0.0114	0.0571
Expression (0-2)	Llama-405B	180	2.00 [2.00;2.00]	2.00 [2.00;2.00]	254	0.50	<0.001	<0.001
Expression (0-2)	BioMistral	180	2.00 [1.00;2.00]	2.00 [1.00;2.00]	2771	0.25	0.0504	0.252
